Date,Job_Title,Rating,Current/Former,View_URL,Summary,Location,Recommend,CEO Approval,Business Outlook,Pros,Cons
2-Jul-21, Engineer,5.0,"Current Employee, more than 3 years",https://www.glassdoor.com/Reviews/Employee-Review-Airbus-RVW49224938.htm,Great Company,"in Mobile, AL",Recommend,CEO Approval,Business Outlook,Great company to work for Future is bright Awesome benefits Competitive pay Bonuses PTO,No paternal leave Frustrating how many Holidays European counterparts are allotted compared to US
24-Aug-21, Insurance Agent,3.0,"Current Employee, less than 1 year",https://www.glassdoor.com/Reviews/Employee-Review-Airbus-RVW51563172.htm,Good,,Recommend,CEO Approval,Business Outlook,Good not bad at all,Better pay at later hours
19-Jun-21, Aerospace Engineer,5.0,"Current Employee, more than 3 years",https://www.glassdoor.com/Reviews/Employee-Review-Airbus-RVW48568159.htm,Good,"in Little Rock, AR",Recommend,CEO Approval,Business Outlook,It's amazing to be at the place man,It isn't good mayne but booty
7-Jun-21, Senior Aeronautical Engineer,5.0,Current Employee,https://www.glassdoor.com/Reviews/Employee-Review-Airbus-RVW47986738.htm,Good company,"in Germantown, MD",Recommend,CEO Approval,Business Outlook,salary good and also good colleages,none cons because it is a good company
12-May-21, Anonymous Employee,2.0,"Current Employee, more than 1 year",https://www.glassdoor.com/Reviews/Employee-Review-Airbus-RVW46869991.htm,Not a healthy place to work,"in Mobile, AL",Recommend,CEO Approval,Business Outlook,Good benefits and nice collegues,"management dont care about people more about KPI, micro management and no trust in their employees Lack of training and quality deliver. Wondering how a aircraft can be certified and declare safe with all the short cutting is taking place to meet schedule"
13-May-21, Sales Director,5.0,Current Employee,https://www.glassdoor.com/Reviews/Employee-Review-Airbus-RVW46912519.htm,Great Company,"in Miami, FL",Recommend,CEO Approval,Business Outlook,"Excellent learning ground, with all around development. 
Very process oriented",Big organization - so change usually takes some time Not very agile
26-Apr-21, Vice President Human Resources,5.0,"Current Employee, more than 10 years",https://www.glassdoor.com/Reviews/Employee-Review-Airbus-RVW46090249.htm,An amazing Company,"in Herndon, VA",Recommend,CEO Approval,Business Outlook,Airbus is a Values driven company that always puts safety and people first,Nothing that I can think of
2-Jul-21, Aircraft Electrician,3.0,"Former Employee, more than 1 year",https://www.glassdoor.com/Reviews/Employee-Review-Airbus-RVW49252775.htm,Salary,"in Mobile, AL",Recommend,CEO Approval,Business Outlook,You move up fast only if your boss likes you,"Horrible management, and HR always take their side."
11-Jun-21, Facilities Coordinator,4.0,"Current Employee, more than 10 years",https://www.glassdoor.com/Reviews/Employee-Review-Airbus-RVW48220640.htm,Great Environment,"in Herndon, VA",Recommend,CEO Approval,Business Outlook,Friendly team workers. Great benefits.,Missed everyone during the pandemic
24-Mar-21, Anonymous Employee,5.0,"Former Employee, more than 1 year",https://www.glassdoor.com/Reviews/Employee-Review-Airbus-RVW44517717.htm,Overall great experience,"in Temecula, CA",Recommend,CEO Approval,Business Outlook,Overall a Friendly teamwork Enviroment,Felt there was Limited advancement
30-Mar-21, Senior Structures Engineer,1.0,"Former Employee, more than 8 years",https://www.glassdoor.com/Reviews/Employee-Review-Airbus-RVW44794273.htm,Awful and Great,"in Wichita, KS",Recommend,CEO Approval,Business Outlook,"Great benefits, mostly great fellow workers, nice building","It can be great, depending on what group you are in. Otherwise, it can be absolutely a dead end and awful place. Management is a pointless overpaid oligarchy, controlled by europe, with no power to influence any real change. It is incredibly ironic they are located (currently) on ""innovation"" campus yet have literally no control over their destiny. Over 10 years, the employee review system slowly went from legitimate accountability for actions, to simply ""who is a favorite."" The same goes for promotions. It all depends on what manager your are friends with, and what group you are in. The worst group by far is the repairs organization, which unfortunately is also the most stable if you would like to stay employed. (I left voluntarily) In this group, you are considered a 3rd rate engineer despite more work output than any ""program"" group employee. Also, you will be required to give up your nights, weekends, holidays on a perpetual basis for ""the business."" Family time, personal time does not matter to management if you are in this group. The rest of the office will enjoy their weekends off, and their 1/2 day fridays, but nope, not if you're in repair! Often, those who have ""signature delegations"" who can sign off on structural repairs of aircraft, are pressured to sign off on repairs despite not being able to prove structural capability. Even if the repair is analyzed properly and shown ""bad,"" next thing you know it is approved by ""the German hand wave."" This essentially means, that since you can't show damage or a repair as structurally acceptable, you simply say ""by engineering judgment"" it is okay to fly! Wohoo! Want to know what management said in an actual meeting in front of structural engineers? ""It's not like planes are falling out of the sky."" This was literally during the 737 Max crisis where planes DID fall out of the sky. There are numerous times I should have ""blown the whistle"" on things but I feared I would be fired. Tell me one whistleblower that has ever actually remained anonymous and kept their job. I still debate doing it because of the constant managerial push to disregard safety and proper analysis in pursuit of speed and output. I am incredibly grateful to be free of this toxic job. To give examples, analysis data quite often was either *MISSING*, inaccessible, unreadable, full of analysis errors or completely useless. Rarely could any of us as engineers have real faith in the data we were using to ""analyze"" repairs. Not only that, but we would use data for YEARS, then be told that those reports were the WRONG ONES!!! Did we go back and check old repairs? NOPE! You will also be beaten over the head why you are so inefficient. Perpetual understaffing and inability of management to understand the repairs workflow operations has lead to complete employee burnout, and incredible inefficiency. There are truly some of the best engineers I've known that work in repairs. However nearly all want out, but are trapped in aircraft or near retirement. There are many other things I could put out there, but at least this should be enough to say you've been warned. Oh, and contractors? Don't think for a second they'll hold up their end of the bargain once you're onboarded into repairs. If you hire for a particular night or weekend shift, the reality is, they will put you wherever they want whenever they want. This is why even the contractors quit."
4-Mar-21, Apprentice Electrician,5.0,"Current Employee, more than 1 year",https://www.glassdoor.com/Reviews/Employee-Review-Airbus-RVW43496910.htm,Airbus electrician,"in Mobile, AL",Recommend,CEO Approval,Business Outlook,"Benefits, pay, time off, PTO",No cons unless parking is a big deal to you
11-Feb-21, Finance,5.0,"Current Employee, more than 10 years",https://www.glassdoor.com/Reviews/Employee-Review-Airbus-RVW42376563.htm,Awesome place to work!,,Recommend,CEO Approval,Business Outlook,"Excellent leadership, colleagues are like family, communication, honesty, corporate culture, benefits, salary, free coffee, overall a great place to work!",Work life balance is difficult
11-May-21, Quality Assurance Manager,2.0,"Current Employee, more than 5 years",https://www.glassdoor.com/Reviews/Employee-Review-Airbus-RVW46768129.htm,QA Management,"in Ashburn, VA",Recommend,CEO Approval,Business Outlook,"Location, although the warehouse is moving to Dulles","Satair has taken over Airbus. Aviation safety should not be compromised by corporate greed.
Horrible hours
Unqualified Management"
18-May-21, Nunya Business,2.0,"Former Employee, more than 3 years",https://www.glassdoor.com/Reviews/Employee-Review-Airbus-RVW47125980.htm,Ok pay...,,Recommend,CEO Approval,Business Outlook,The people you work with are great.,Management in America is the worst.
23-Feb-21, Manager,5.0,"Current Employee, more than 3 years",https://www.glassdoor.com/Reviews/Employee-Review-Airbus-RVW42957847.htm,"Grand Prairie, TX","in Grand Prairie, TX",Recommend,CEO Approval,Business Outlook,Good work environment in Grand Prairie,Traffic in the area is terrible at time
24-Feb-21, Full Stack Web Developer,5.0,Former Employee,https://www.glassdoor.com/Reviews/Employee-Review-Airbus-RVW43023420.htm,developer,"in New York, NY",Recommend,CEO Approval,Business Outlook,best company ever in the world,no transportations to my home
25-Jan-21, Engineer,5.0,"Former Employee, more than 1 year",https://www.glassdoor.com/Reviews/Employee-Review-Airbus-RVW41384445.htm,"Growing market segment and company, interesting projects beyond just aerospace.","in Boston, MA",Recommend,CEO Approval,Business Outlook,"Mentorship, resources, name recognition, and generous compensation",Conflicts between Americas and Europe can slow down otherwise agile teams
10-Jan-21, Process Engineer,5.0,"Current Employee, more than 1 year",https://www.glassdoor.com/Reviews/Employee-Review-Airbus-RVW40397599.htm,Employee Focused,"in Mobile, AL",Recommend,CEO Approval,Business Outlook,Empowers employees through training and development. Allows experimentation of new roles and LeoÕs you follow the path you want to take.,No real cons. Challenging but rewarding.
18-Apr-21, Anonymous Employee,3.0,"Current Employee, less than 1 year",https://www.glassdoor.com/Reviews/Employee-Review-Airbus-RVW45681323.htm,Ehh,,Recommend,CEO Approval,Business Outlook,"Good benefits, and schedule most weekends off","Typical production drive, no regards for experience workforce"
13-Apr-21, Fundraiser,3.0,Current Employee,https://www.glassdoor.com/Reviews/Employee-Review-Airbus-RVW45441970.htm,rubiish,"in San Diego, CA",Recommend,CEO Approval,Business Outlook,"food, people, relationships, women, men","salary, maternity, paternity, time off, vacation"
9-Mar-21, Architect,4.0,Former Employee,https://www.glassdoor.com/Reviews/Employee-Review-Airbus-RVW43707286.htm,"Great Company, Great Benefits","in Washington, DC",Recommend,CEO Approval,Business Outlook,"Great Environment, free coffee, nice office spaces.",None I can think of at this time.
8-Dec-20, Engineer,5.0,Current Employee,https://www.glassdoor.com/Reviews/Employee-Review-Airbus-RVW39238640.htm,Overall rating,"in Grand Prairie, TX",Recommend,CEO Approval,Business Outlook,Good pay and relaxed atmosphere,Not enough professional classroom training
8-Dec-20, Aerospace Engineer,5.0,Former Employee,https://www.glassdoor.com/Reviews/Employee-Review-Airbus-RVW39256738.htm,Rating,"in Auburn Hills, MI",Recommend,CEO Approval,Business Outlook,Good insurance and salary for worker,Too many working hours for employer
9-Dec-20, Accountant,5.0,Former Employee,https://www.glassdoor.com/Reviews/Employee-Review-Airbus-RVW39289153.htm,Great company,,Recommend,CEO Approval,Business Outlook,Benefits are great for everyone,HR Management was not very good
12-Feb-21, Aerospace Manager,4.0,Current Employee,https://www.glassdoor.com/Reviews/Employee-Review-Airbus-RVW42426801.htm,"Good place, terrible procedures","in Grand Prairie, TX",Recommend,CEO Approval,Business Outlook,Benefits and culture are the plus here.,Low pay compared to others in the industry. Lack of procedures and processes to perform work.
11-Feb-21, Sales,3.0,Former Employee,https://www.glassdoor.com/Reviews/Employee-Review-Airbus-RVW42332498.htm,sales,,Recommend,CEO Approval,Business Outlook,"great industry exposure, international team, great customer exposure",no one ever seems to be accountable for anything so nothing really ever gets done
19-Feb-21, Administrative Assistant,4.0,"Current Employee, more than 3 years",https://www.glassdoor.com/Reviews/Employee-Review-Airbus-RVW42797135.htm,great,"in Virginia Beach, VA",Recommend,CEO Approval,Business Outlook,good to be a part of,not bad and not challenging
14-Feb-21, Senior Manager,3.0,Former Employee,https://www.glassdoor.com/Reviews/Employee-Review-Airbus-RVW42482995.htm,"Good Company, Solid Mission",,Recommend,CEO Approval,Business Outlook,Exciting Products in a very Competitive Industry,Peaks and Valleys from Contract Awards
8-Feb-21, Engineer,4.0,"Current Employee, more than 8 years",https://www.glassdoor.com/Reviews/Employee-Review-Airbus-RVW42154134.htm,Regular,"in Mobile, AL",Recommend,CEO Approval,Business Outlook,Job stability and doing the same things every day,lower salary than the competition
27-Oct-20, Quality Inspector,5.0,"Current Employee, more than 1 year",https://www.glassdoor.com/Reviews/Employee-Review-Airbus-RVW37678615.htm,Great place to work,"in Mobile, AL",Recommend,CEO Approval,Business Outlook,"Steady pace, Air conditioned building, fair wage.","lack of communication, management can sometimes be confusing."
8-Feb-21, Sales,3.0,Former Employee,https://www.glassdoor.com/Reviews/Employee-Review-Airbus-RVW42153792.htm,Sales,,Recommend,CEO Approval,Business Outlook,"benefits, manageable work load, customer exposure","management, changing organization, unknown future"
27-Oct-20, Senior IT Manager,5.0,Current Employee,https://www.glassdoor.com/Reviews/Employee-Review-Airbus-RVW37683649.htm,High Level,"in Washington, DC",Recommend,CEO Approval,Business Outlook,Opportunies offered by this company,Big company could appear as complex
9-Oct-20, Anonymous Employee,5.0,Former Employee,https://www.glassdoor.com/Reviews/Employee-Review-Airbus-RVW36965434.htm,Great,"in Los Angeles, CA",Recommend,CEO Approval,Business Outlook,Everything is a pro for this employer,Nothing is a con for this employer
1-Oct-20, Manufacturing Engineer,5.0,Current Employee,https://www.glassdoor.com/Reviews/Employee-Review-Airbus-RVW36578383.htm,Manufacturing Engineering,"in Mobile, AL",Recommend,CEO Approval,Business Outlook,Great team of international colleagues,Lots of hours required in the 4Q
19-Nov-20, Technical Trainer,4.0,Current Employee,https://www.glassdoor.com/Reviews/Employee-Review-Airbus-RVW38535181.htm,Excellent Opportunity,"in Mobile, AL",Recommend,CEO Approval,Business Outlook,"Flexibility, people oriented, great benefits and numerous opportunities for those seeking them.",The addition of the new final assembly line has created the need for added flexibility but it brings added opportunities as well.
23-Dec-20, Analyst,3.0,Former Employee,https://www.glassdoor.com/Reviews/Employee-Review-Airbus-RVW39765406.htm,Great company,,Recommend,CEO Approval,Business Outlook,Medical benefits are really good. Flexible timings,No cons that I could think
15-Aug-20, Proposal Manager,5.0,Former Employee,https://www.glassdoor.com/Reviews/Employee-Review-Airbus-RVW34950098.htm,Great Company,,Recommend,CEO Approval,Business Outlook,Great Benefits for employees and great work-life balance,Poor Team work among co-workers
9-Nov-20, Finance,4.0,Current Employee,https://www.glassdoor.com/Reviews/Employee-Review-Airbus-RVW38166452.htm,"Great culture, average work-life balance",,Recommend,CEO Approval,Business Outlook,Multicultural company where communication skills are honed,Work Life Balance is not the absolute best
8-Aug-20, A&P Mechanic,5.0,Former Employee,https://www.glassdoor.com/Reviews/Employee-Review-Airbus-RVW34721839.htm,N/A,"in Columbus, MS",Recommend,CEO Approval,Business Outlook,"Good work environment, friendly employees","Currently on a hiring freeze, limited travel opportunity"
11-Nov-20, Avionics Technician,4.0,"Current Employee, more than 1 year",https://www.glassdoor.com/Reviews/Employee-Review-Airbus-RVW38242208.htm,Great company,"in Columbus, MS",Recommend,CEO Approval,Business Outlook,Good pay and great benefits,Long days during certain times of the year
21-Oct-20, Business Analyst,3.0,Former Employee,https://www.glassdoor.com/Reviews/Employee-Review-Airbus-RVW37424164.htm,Business Analyst,"in Herndon, VA",Recommend,CEO Approval,Business Outlook,Professional working environment. Managers are respectful,contractors were the first to be laid off during covid
11-Oct-20, Visual Designer,4.0,Current Employee,https://www.glassdoor.com/Reviews/Employee-Review-Airbus-RVW36996219.htm,GREAT COMPANY,"in Korea, VA",Recommend,CEO Approval,Business Outlook,Cool company for a designer who wanna design for future,Not sure but management should have a direct target for products
14-May-20, Solutions Architect,5.0,"Current Employee, more than 1 year",https://www.glassdoor.com/Reviews/Employee-Review-Airbus-RVW33182485.htm,Great Company! Great Benefits!,,Recommend,CEO Approval,Business Outlook,Get to work on multiple domains as a Techie! There is no limitation on the kind of work you can do. If you are good you will be rewarded.,Lack of visibility into growth with in the organization.
25-May-20, Account Manager,5.0,Former Employee,https://www.glassdoor.com/Reviews/Employee-Review-Airbus-RVW33354690.htm,great company but might be too big if you want to be noticed.,,Recommend,CEO Approval,Business Outlook,"stable company, great atmosphere, ambitious coworkers, share experience",you are just a number
16-Sep-20, Director of Sales,4.0,"Current Employee, more than 10 years",https://www.glassdoor.com/Reviews/Employee-Review-Airbus-RVW36033959.htm,Nice European company,"in Dallas, TX",Recommend,CEO Approval,Business Outlook,"Incredible company support, friendly staff and management",Too conservative approach to market
7-May-20," Director, Supply Chain Management",5.0,"Current Employee, more than 10 years",https://www.glassdoor.com/Reviews/Employee-Review-Airbus-RVW33067531.htm,13 yrs in and still appreciate this company,"in Herndon, VA",Recommend,CEO Approval,Business Outlook,"Values, Challenge, Diversity, Opportunities, Transparency","As any large company, can not always adapt as quickly as would like."
5-Sep-20, Avionics Technician,3.0,"Current Employee, more than 1 year",https://www.glassdoor.com/Reviews/Employee-Review-Airbus-RVW35657238.htm,Good manufacturing job.,,Recommend,CEO Approval,Business Outlook,"Company provides good benefits, teaches new skills.",Culture of workplace is not always accepting.
8-May-20, Engineer,5.0,Current Employee,https://www.glassdoor.com/Reviews/Employee-Review-Airbus-RVW33089363.htm,Good skills,"in New York, NY",Recommend,CEO Approval,Business Outlook,"Excellent benefit
Good eviroment
Perfect bonus
Perfect
Good people working","Large hours working
Tired 
Work with lot people"
29-Jul-20, Director,3.0,Former Employee,https://www.glassdoor.com/Reviews/Employee-Review-Airbus-RVW34505504.htm,Good Company,,Recommend,CEO Approval,Business Outlook,Good Company to Work For,None that can state today
6-Jul-20, Manager,4.0,"Former Employee, more than 5 years",https://www.glassdoor.com/Reviews/Employee-Review-Airbus-RVW34076209.htm,Industry leader,,Recommend,CEO Approval,Business Outlook,Excellent benefits and competitive salary,Management has a culture of fear
14-Feb-20, Project Engineer,5.0,"Former Employee, more than 1 year",https://www.glassdoor.com/Reviews/Employee-Review-Airbus-RVW31865759.htm,very good,"in India, PA",Recommend,CEO Approval,Business Outlook,very very good and better,not so bad and bad
20-Dec-19, Financial Analyst,5.0,"Former Employee, more than 1 year",https://www.glassdoor.com/Reviews/Employee-Review-Airbus-RVW30960575.htm,Great Company,"in Herndon, VA",Recommend,CEO Approval,Business Outlook,"Absolutely unmatched benefits, engaging work environment.",Not a whole lot to say here - no cons that arenÕt common to work in this industry in general.
2-Oct-19, Mechanical Engineer,5.0,"Current Employee, less than 1 year",https://www.glassdoor.com/Reviews/Employee-Review-Airbus-RVW29585047.htm,It is a great place to work,,Recommend,CEO Approval,Business Outlook,The people here really are the best group you could ask to work with,I can't think of any
10-Mar-20, Project Coordinator,3.0,"Current Employee, more than 5 years",https://www.glassdoor.com/Reviews/Employee-Review-Airbus-RVW32311147.htm,Decent,"in Mobile, AL",Recommend,CEO Approval,Business Outlook,"flexible schedule, good people and location",not many benefits for contractors
23-Jan-20, Agent Manager,4.0,"Former Employee, more than 5 years",https://www.glassdoor.com/Reviews/Employee-Review-Airbus-RVW31461948.htm,Good Company to work for,"in Grand Prairie, TX",Recommend,CEO Approval,Business Outlook,Great people to work with,Not a lot of room for advancement. Office politics gets in the way of getting the job done.
22-Jan-20, Operations,3.0,Former Employee,https://www.glassdoor.com/Reviews/Employee-Review-Airbus-RVW31432261.htm,Good Company,,Recommend,CEO Approval,Business Outlook,"Good culture infused with lasting relationships

Dynamic international partnership","Culture has denigrated once the Americans replaced the European leadership 

Extremely flat organization - very little advancement opportunity"
23-Jul-19, Human Resources,5.0,"Current Employee, more than 10 years",https://www.glassdoor.com/Reviews/Employee-Review-Airbus-RVW28190006.htm,An great place to work,,Recommend,CEO Approval,Business Outlook,"Excellent management, great people to work with, inclusive company culture, above average benefits.  Company is growing significantly in the US.",A downside of the company's rapid growth is some chaos as the company struggles to transform it' soperating model.
16-Jan-20, Software Engineer,4.0,"Current Employee, more than 1 year",https://www.glassdoor.com/Reviews/Employee-Review-Airbus-RVW31325792.htm,Great Company,"in Grand Prairie, TX",Recommend,CEO Approval,Business Outlook,Awesome work life balance and company culture,Does not pay as much as other competitors
27-Mar-19, Software Engineer,4.0,"Current Employee, more than 1 year",https://www.glassdoor.com/Reviews/Employee-Review-Airbus-RVW25371793.htm,Solid place to work with good work/life balance,"in Fort Collins, CO",Recommend,CEO Approval,Business Outlook,"- Good work/life balance, hours rarely eclipse 40/week and only when there is an absolute need for it

- Great environment with good people who are a joy to work with

- Interesting work and management that works to ensure work is enjoyed as much as possible by employees

- Amazing benefits","- Low pay, and pay is often tied to company performance

- Not much room for growth, raises are very rare

- Organizational and pay structure is not transparent and is subject to change"
18-Jul-19, Supervisor,3.0,"Former Employee, less than 1 year",https://www.glassdoor.com/Reviews/Employee-Review-Airbus-RVW28105099.htm,Great Company,,Recommend,CEO Approval,Business Outlook,"People are friendly, work is challenging but rewarding.",Training and acclimation time leave something to be desired.
15-May-19, Anonymous Employee,4.0,Current Employee,https://www.glassdoor.com/Reviews/Employee-Review-Airbus-RVW26160365.htm,Overall great benefits!!!,,Recommend,CEO Approval,Business Outlook,"Fully paid health care for employee and family
Fully paid STD, LTD and Life insurance
Good vacation to start with -  2 weeks for first year goes up  4 weeks after + 12 days of sick leave + 13 holidays (includes all major holidays and total shutdown from Christmas thru New years)
Very decent bonus and annual salary review
13.25%  of your salary as 401k match (3%) + retirement contribution  (10.25%) for employees - unheard of in any industry",No clear path  that shows on how someone could grow in the company
23-Apr-19, Director of Sales and Marketing,3.0,"Former Employee, less than 1 year",https://www.glassdoor.com/Reviews/Employee-Review-Airbus-RVW25805451.htm,"Glad I tried it, wouldn't do it again","in Herndon, VA",Recommend,CEO Approval,Business Outlook,"Good compensation, nice people, seemed like a good opportunity at first","Teams lacked structure and discipline, not organized, too much input and reliance from European counterparts, very male dominated."
8-Apr-19," Engineer, Senior",4.0,"Current Employee, more than 5 years",https://www.glassdoor.com/Reviews/Employee-Review-Airbus-RVW25576738.htm,Good Benefits,"in Mobile, AL",Recommend,CEO Approval,Business Outlook,"401k, health insurance and other benefits","Retirement job, lack of innovation"
